ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,name
29380,Married,Female,20000.0,3.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,41.0,Yes,Robert Miller
23986,Married,Female,20000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,66.0,Yes,Jessica Johnson
24466,Married,Female,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,46.0,Yes,Sarah Williams
29097,Single,Female,40000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,Michael Garcia
19487,Married,Male,30000.0,2.0,Partial College,Clerical,No,2.0,0-1 Miles,Europe,42.0,No,Michael Smith
14939,,Male,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,39.0,Yes,Michael Garcia
13826,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,28.0,No,Sarah Jones
20619,Single,Male,80000.0,0.0,Bachelors,Professional,No,4.0,10+ Miles,Pacific,35.0,No,Jane Rodriguez
12558,Married,Female,20000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,65.0,No,Emily Garcia
24871,Single,Female,90000.0,4.0,High School,Management,No,3.0,5-10 Miles,Europe,56.0,No,John Brown
17319,Single,Female,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,42.0,No,Laura Davis
28906,Married,Male,80000.0,4.0,High School,Professional,Yes,2.0,10+ Miles,Europe,54.0,No,Jane Brown
12808,Married,Male,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes,John Jones
20567,Married,Male,130000.0,4.0,Partial College,Professional,No,4.0,5-10 Miles,Europe,61.0,Yes,Sarah Rodriguez
25502,Married,Female,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,43.0,Yes,David Garcia
15580,Married,Male,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,38.0,Yes,Robert Jones
24185,Single,Female,10000.0,1.0,High School,Manual,No,1.0,1-2 Miles,Europe,45.0,No,Daniel Garcia
19291,Single,Female,10000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,35.0,No,Laura Jones
16713,Married,Male,40000.0,2.0,Bachelors,Management,Yes,1.0,0-1 Miles,Pacific,52.0,Yes,Emily Brown
16185,Single,Male,60000.0,4.0,Bachelors,Professional,Yes,3.0,10+ Miles,Pacific,41.0,No,John Rodriguez
14927,Married,Female,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,Robert Smith
29337,Single,Male,30000.0,2.0,Partial College,Clerical,Yes,2.0,5-10 Miles,Pacific,68.0,No,Jane Rodriguez
29355,Married,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,Sarah Miller
25303,Single,Male,30000.0,0.0,High School,Manual,Yes,1.0,2-5 Miles,Europe,33.0,Yes,Laura Jones
14813,Single,Female,20000.0,4.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,43.0,Yes,Laura Martinez
16438,Married,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,30.0,No,Sarah Davis
14238,Married,Male,120000.0,0.0,Partial High School,Professional,Yes,4.0,10+ Miles,Pacific,36.0,Yes,David Martinez
16200,Single,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,35.0,No,John Johnson
24857,Married,Female,130000.0,3.0,High School,Professional,Yes,4.0,0-1 Miles,Europe,52.0,No,Laura Garcia
26956,Single,Female,20000.0,0.0,Partial College,Manual,No,1.0,2-5 Miles,Europe,36.0,Yes,Sarah Johnson
14517,Married,Female,20000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,62.0,No,Daniel Smith
12678,Single,Female,130000.0,4.0,High School,Management,Yes,4.0,0-1 Miles,Pacific,31.0,No,John Brown
16188,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,26.0,No,John Davis
27969,Married,Male,80000.0,0.0,Bachelors,Professional,Yes,2.0,10+ Miles,Pacific,29.0,Yes,Laura Smith
15752,Married,Male,80000.0,2.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,50.0,Yes,Michael Miller
27745,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,63.0,Yes,Robert Miller
20828,Married,Female,30000.0,4.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,45.0,Yes,Laura Smith
19461,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,40.0,No,Sarah Martinez
26941,Married,Male,30000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,Yes,Emily Miller
28412,Single,Male,20000.0,0.0,High School,Manual,No,1.0,2-5 Miles,Europe,29.0,No,Sarah Rodriguez
24485,Single,Male,40000.0,2.0,Bachelors,Management,No,1.0,5-10 Miles,Pacific,52.0,Yes,Laura Martinez
16514,Single,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,1-2 Miles,Pacific,26.0,Yes,Michael Johnson
17191,Single,Male,130000.0,3.0,Partial College,Professional,No,3.0,0-1 Miles,Europe,51.0,Yes,Robert Williams
19608,Married,Male,80000.0,5.0,Bachelors,Professional,Yes,4.0,1-2 Miles,Pacific,40.0,No,Sarah Jones
24119,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,29.0,No,Jessica Williams
25458,Married,Male,20000.0,1.0,High School,Manual,No,1.0,1-2 Miles,Europe,40.0,Yes,Laura Davis
26886,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,29.0,Yes,Jessica Martinez
28436,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,30.0,Yes,Emily Jones
19562,Single,Female,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,37.0,Yes,Jessica Miller
15608,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,33.0,No,Jessica Jones
16487,Single,Female,30000.0,3.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,55.0,No,Jane Davis
17197,Single,Female,90000.0,5.0,Partial College,Professional,Yes,2.0,10+ Miles,Europe,62.0,No,Jane Johnson
12507,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,43.0,No,Emily Johnson
23940,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,1.0,0-1 Miles,Europe,44.0,Yes,Michael Martinez
19441,,Male,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,,Yes,Jessica Davis
26852,Married,Female,20000.0,3.0,High School,Manual,Yes,2.0,0-1 Miles,Europe,43.0,No,David Martinez
12274,Single,Male,10000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,35.0,No,Jane Rodriguez
20236,Single,Male,60000.0,3.0,Bachelors,Professional,No,2.0,0-1 Miles,Pacific,43.0,Yes,Jane Jones
24149,Married,Male,10000.0,2.0,Partial College,Manual,Yes,0.0,1-2 Miles,Europe,49.0,No,Jane Rodriguez
26139,Single,Male,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,45.0,No,John Smith
18491,Single,Female,70000.0,2.0,High School,Professional,Yes,2.0,5-10 Miles,Pacific,49.0,Yes,Emily Garcia
22707,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,30.0,No,John Johnson
20430,Married,Male,70000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,David Martinez
27494,Single,Female,40000.0,2.0,Partial College,Skilled Manual,No,2.0,1-2 Miles,Pacific,53.0,Yes,Robert Smith
26829,Married,Female,40000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,38.0,Yes,Daniel Davis
28395,Single,Male,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,39.0,Yes,Laura Rodriguez
21006,Single,Female,,1.0,Partial College,Manual,No,0.0,0-1 Miles,Europe,46.0,Yes,Laura Davis
14682,Single,Female,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,38.0,No,Michael Williams
17650,Single,Female,40000.0,2.0,Partial College,Clerical,Yes,2.0,1-2 Miles,Europe,35.0,No,Emily Smith
29191,Single,Female,130000.0,1.0,Graduate Degree,Management,No,1.0,0-1 Miles,Pacific,36.0,Yes,Jessica Jones
15030,Married,Male,20000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Pacific,26.0,Yes,Sarah Brown
24140,Single,Male,10000.0,0.0,Graduate Degree,Manual,No,0.0,0-1 Miles,Europe,30.0,Yes,Jessica Jones
22496,Married,Female,30000.0,1.0,Bachelors,Skilled Manual,Yes,2.0,0-1 Miles,Europe,42.0,No,David Davis
24065,Single,Female,20000.0,,High School,Manual,Yes,0.0,0-1 Miles,Europe,40.0,Yes,Sarah Jones
19914,Married,Male,80000.0,5.0,Bachelors,Management,Yes,2.0,2-5 Miles,Europe,62.0,No,John Williams
12871,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,29.0,No,Jessica Williams
22988,Married,Female,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,66.0,Yes,John Jones
15922,Married,Male,150000.0,2.0,High School,Professional,Yes,4.0,0-1 Miles,Europe,48.0,No,David Miller
12344,Single,Female,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,31.0,No,Daniel Brown
23627,Single,Female,100000.0,3.0,Partial College,Management,No,4.0,5-10 Miles,Europe,56.0,No,David Davis
27775,Single,Female,40000.0,0.0,Bachelors,Clerical,No,0.0,0-1 Miles,Europe,38.0,Yes,Daniel Davis
29301,Married,Male,80000.0,5.0,Bachelors,Professional,Yes,4.0,1-2 Miles,Pacific,40.0,No,John Garcia
12716,Single,Male,30000.0,0.0,Partial College,Clerical,Yes,1.0,2-5 Miles,Europe,32.0,No,Michael Brown
12472,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,1.0,2-5 Miles,Europe,39.0,No,Robert Williams
20970,Single,Male,10000.0,2.0,Partial College,Manual,Yes,1.0,0-1 Miles,Europe,52.0,Yes,Jane Rodriguez
26818,Single,Male,10000.0,3.0,High School,Manual,Yes,1.0,0-1 Miles,Europe,39.0,Yes,Jessica Williams
12993,Married,Male,60000.0,2.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,37.0,No,Emily Garcia
14192,Married,Male,90000.0,4.0,High School,Management,Yes,3.0,5-10 Miles,Europe,56.0,Yes,Jane Miller
19477,Married,Male,40000.0,0.0,Bachelors,Professional,Yes,0.0,0-1 Miles,Europe,40.0,Yes,Jane Garcia
26796,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,65.0,Yes,John Brown
21094,Single,Female,30000.0,2.0,Partial College,Clerical,Yes,2.0,0-1 Miles,Europe,42.0,No,Michael Williams
12234,Married,Male,10000.0,2.0,Partial College,Manual,Yes,1.0,2-5 Miles,Europe,52.0,No,Sarah Brown
28683,Single,Female,10000.0,1.0,High School,Manual,No,1.0,5-10 Miles,Europe,35.0,Yes,Daniel Smith
17994,Single,Male,20000.0,2.0,High School,Manual,Yes,2.0,0-1 Miles,Europe,42.0,No,John Rodriguez
24273,Married,Female,20000.0,2.0,Partial High School,Clerical,Yes,2.0,5-10 Miles,Pacific,55.0,Yes,Jane Smith
26547,Single,Female,30000.0,2.0,Partial College,Clerical,No,2.0,5-10 Miles,Pacific,60.0,Yes,Laura Johnson
22500,Single,Male,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,40.0,Yes,Michael Johnson
23993,Single,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,26.0,Yes,Michael Garcia
14832,Married,Male,40000.0,1.0,Bachelors,Skilled Manual,Yes,0.0,0-1 Miles,Europe,42.0,Yes,Laura Miller
16614,Married,Female,80000.0,0.0,Bachelors,Professional,Yes,3.0,10+ Miles,Pacific,32.0,No,David Martinez
20877,Single,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,1-2 Miles,Europe,37.0,Yes,Laura Martinez
20729,Married,Female,40000.0,2.0,Partial College,Clerical,No,1.0,0-1 Miles,Europe,34.0,No,Daniel Smith
22464,Married,Male,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,David Johnson
19475,Married,Female,40000.0,0.0,Bachelors,Professional,No,0.0,0-1 Miles,Europe,40.0,Yes,David Miller
19675,Married,Male,20000.0,4.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,60.0,No,Daniel Davis
12728,Single,Male,30000.0,0.0,Partial College,Clerical,No,1.0,1-2 Miles,Europe,27.0,No,John Jones
26154,,Male,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,43.0,Yes,Sarah Garcia
29117,Single,Male,100000.0,1.0,Bachelors,Management,No,3.0,0-1 Miles,Pacific,48.0,No,Jane Davis
17845,Single,Female,20000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,32.0,No,Michael Johnson
25058,Married,Male,100000.0,1.0,Bachelors,Management,Yes,3.0,2-5 Miles,Pacific,47.0,No,Robert Rodriguez
23426,Single,,80000.0,5.0,Graduate Degree,Management,Yes,3.0,0-1 Miles,Pacific,40.0,No,Robert Rodriguez
14798,Single,Female,10000.0,4.0,Partial High School,Manual,Yes,2.0,0-1 Miles,Europe,41.0,Yes,Sarah Garcia
12664,Married,Female,130000.0,5.0,Partial College,Professional,Yes,4.0,0-1 Miles,Europe,59.0,No,Sarah Martinez
23979,Single,Male,10000.0,2.0,Partial College,Manual,No,0.0,0-1 Miles,Europe,50.0,No,Sarah Miller
25605,Single,Female,20000.0,2.0,Partial College,Manual,No,1.0,0-1 Miles,Europe,54.0,Yes,Michael Johnson
20797,Married,Female,10000.0,1.0,Bachelors,Manual,Yes,0.0,0-1 Miles,Europe,48.0,No,Michael Jones
21980,Single,Female,60000.0,1.0,Bachelors,Professional,Yes,1.0,5-10 Miles,Pacific,44.0,Yes,Jane Jones
25460,Married,Female,20000.0,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,40.0,Yes,Sarah Brown
29181,Single,Female,60000.0,2.0,Bachelors,Professional,No,1.0,0-1 Miles,Pacific,38.0,Yes,Jane Martinez
24279,Single,Male,40000.0,2.0,Partial College,Skilled Manual,No,2.0,1-2 Miles,Pacific,52.0,No,Emily Rodriguez
22402,Married,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,2-5 Miles,Pacific,25.0,Yes,Emily Brown
15465,Married,Female,10000.0,0.0,Partial College,Manual,No,1.0,0-1 Miles,Pacific,25.0,No,Sarah Smith
26757,Single,Male,90000.0,1.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,47.0,Yes,David Brown
14233,Single,Male,100000.0,0.0,High School,Management,Yes,3.0,10+ Miles,Pacific,35.0,No,Robert Johnson
14058,Single,Male,70000.0,0.0,Bachelors,Professional,No,1.0,5-10 Miles,Pacific,41.0,Yes,Robert Martinez
12273,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,47.0,No,David Davis
17203,Married,Female,130000.0,4.0,Partial College,Professional,Yes,4.0,5-10 Miles,Europe,61.0,Yes,Robert Miller
18144,Married,Female,80000.0,5.0,Bachelors,Management,Yes,2.0,2-5 Miles,Europe,61.0,No,Emily Miller
23963,Married,Male,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,33.0,No,John Brown
17907,Married,Female,10000.0,0.0,Partial College,Manual,Yes,1.0,2-5 Miles,Pacific,27.0,No,Jessica Rodriguez
19442,Single,Male,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,0.0,0-1 Miles,Europe,37.0,Yes,Sarah Rodriguez
17504,Single,Female,80000.0,2.0,Partial College,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,52.0,Yes,Laura Martinez
12253,Single,Female,20000.0,0.0,Partial College,Manual,Yes,0.0,0-1 Miles,Pacific,29.0,Yes,Daniel Garcia
27304,Single,Female,110000.0,2.0,Partial College,Professional,No,3.0,5-10 Miles,Europe,48.0,No,Sarah Rodriguez
14191,Married,Male,160000.0,4.0,Partial College,Professional,No,2.0,10+ Miles,Europe,55.0,Yes,John Rodriguez
12212,Married,Female,10000.0,0.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,37.0,Yes,David Smith
25529,Single,Male,10000.0,1.0,Graduate Degree,Manual,Yes,0.0,0-1 Miles,Europe,44.0,No,Robert Smith
22170,Married,Female,30000.0,3.0,Partial College,Clerical,No,2.0,1-2 Miles,Pacific,55.0,Yes,Jessica Jones
19445,Married,Female,10000.0,2.0,High School,Manual,No,1.0,0-1 Miles,Europe,38.0,No,Daniel Jones
15265,Single,Male,40000.0,2.0,Bachelors,Management,Yes,2.0,5-10 Miles,Pacific,66.0,Yes,John Brown
28918,Married,Female,130000.0,4.0,High School,Management,No,4.0,10+ Miles,Europe,58.0,No,Jane Martinez
15799,Married,Female,90000.0,1.0,Bachelors,Professional,Yes,1.0,2-5 Miles,Pacific,47.0,Yes,Jessica Smith
11047,Married,Female,30000.0,3.0,High School,Skilled Manual,No,2.0,1-2 Miles,Pacific,56.0,Yes,John Rodriguez
18151,Single,Male,80000.0,5.0,Partial College,Professional,No,2.0,10+ Miles,Europe,59.0,No,Robert Jones
20606,Married,Female,70000.0,0.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,32.0,Yes,Robert Williams
19482,Married,Male,30000.0,1.0,Partial College,Clerical,Yes,1.0,0-1 Miles,Europe,44.0,Yes,Daniel Smith
16489,Married,Male,30000.0,3.0,High School,Skilled Manual,Yes,2.0,5-10 Miles,Pacific,55.0,No,Laura Davis
26944,Single,Male,,2.0,High School,Manual,Yes,0.0,0-1 Miles,Europe,36.0,Yes,Michael Garcia
15682,Single,Female,80000.0,5.0,Bachelors,Management,Yes,2.0,10+ Miles,Europe,62.0,No,John Jones
26032,Married,Female,70000.0,5.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,41.0,No,Daniel Johnson
17843,Single,Female,10000.0,0.0,Partial High School,Manual,No,2.0,0-1 Miles,Europe,32.0,No,Jessica Williams
25559,Single,Male,20000.0,0.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Pacific,25.0,Yes,John Garcia
16209,Single,Female,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,,1-2 Miles,Europe,36.0,No,Robert Martinez
11147,Married,Male,60000.0,2.0,Graduate Degree,Management,Yes,1.0,0-1 Miles,Pacific,67.0,Yes,Michael Garcia
15214,Single,Female,100000.0,0.0,Graduate Degree,Management,No,1.0,1-2 Miles,Pacific,39.0,Yes,Jessica Davis
11453,Single,Male,80000.0,0.0,Bachelors,Professional,No,3.0,10+ Miles,Pacific,33.0,Yes,Robert Johnson
24584,Single,Male,60000.0,0.0,Bachelors,Professional,No,3.0,2-5 Miles,Pacific,31.0,No,Emily Rodriguez
12585,Married,Male,10000.0,1.0,High School,Manual,Yes,0.0,2-5 Miles,Pacific,27.0,Yes,Robert Garcia
18626,Single,Male,40000.0,2.0,Partial College,Clerical,Yes,,1-2 Miles,Europe,33.0,Yes,Daniel Johnson
29298,Single,Female,60000.0,1.0,Partial College,Skilled Manual,Yes,1.0,5-10 Miles,Pacific,46.0,Yes,David Williams
24842,Single,Female,90000.0,3.0,High School,Professional,No,1.0,2-5 Miles,Europe,51.0,No,Laura Brown
15657,Married,Male,30000.0,3.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,46.0,Yes,John Rodriguez
11415,Single,Male,90000.0,5.0,Partial College,Professional,No,2.0,10+ Miles,Europe,62.0,No,Robert Brown
28729,Single,Female,20000.0,0.0,Partial High School,Manual,Yes,2.0,1-2 Miles,Europe,26.0,Yes,Jessica Brown
22633,Single,Female,40000.0,0.0,Graduate Degree,Clerical,Yes,0.0,0-1 Miles,Europe,37.0,Yes,Michael Garcia
25649,Single,Female,30000.0,3.0,Partial College,Clerical,Yes,0.0,0-1 Miles,Europe,42.0,Yes,Jessica Davis
14669,Married,Female,80000.0,4.0,Graduate Degree,Management,Yes,1.0,0-1 Miles,Pacific,36.0,No,Jessica Rodriguez
19299,Married,Female,50000.0,0.0,Graduate Degree,Skilled Manual,Yes,0.0,0-1 Miles,Europe,36.0,Yes,Jane Smith
20946,Single,Female,30000.0,0.0,Partial College,Clerical,No,1.0,2-5 Miles,Europe,30.0,No,Robert Williams
11451,Single,Male,70000.0,0.0,Bachelors,Professional,No,4.0,10+ Miles,Pacific,31.0,Yes,Jessica Martinez
25553,Married,Male,30000.0,1.0,Bachelors,Clerical,Yes,0.0,0-1 Miles,Europe,65.0,Yes,Sarah Smith
27951,Single,Male,80000.0,4.0,Partial College,Professional,No,2.0,2-5 Miles,Europe,54.0,Yes,Robert Garcia
25026,Married,Male,20000.0,2.0,Partial High School,Clerical,Yes,3.0,5-10 Miles,Pacific,54.0,No,Jane Miller
13673,Single,Female,20000.0,,Partial High School,Manual,No,2.0,0-1 Miles,Europe,25.0,No,Jane Garcia
16043,Single,Male,10000.0,1.0,Bachelors,Manual,Yes,0.0,0-1 Miles,Europe,48.0,No,Jessica Martinez
22399,Single,Male,10000.0,0.0,Partial College,Manual,Yes,1.0,1-2 Miles,Pacific,26.0,Yes,Daniel Martinez
27696,Married,Male,60000.0,1.0,Bachelors,Professional,Yes,1.0,5-10 Miles,Pacific,43.0,Yes,Michael Williams
25313,Single,Male,10000.0,0.0,Partial High School,Manual,No,2.0,1-2 Miles,Europe,35.0,No,Jessica Martinez
13813,Married,Female,30000.0,3.0,Partial College,Clerical,No,0.0,0-1 Miles,Europe,42.0,No,Jane Johnson
18711,Single,Female,70000.0,5.0,Bachelors,Professional,Yes,4.0,10+ Miles,Pacific,39.0,No,David Williams
